gender,age,marriage,education,job,risk_preference,client_lv,old_new,client_cat,SME_client,retail_cat,retail_loan,collateral_loan,inv_cat,high_cap,other_bank_tag,large_spend,high_repay,high_spend,quality_career,salary_agent,prospect_high,client_contr,client_activ,client_channel,inv_product,Liab_Inv_107,Fund_Inv_130,Ins_Inv_170,pc1,pc2
1,0.447368421,0,0,0,0.6,0.8,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,1,1,1,0.4,0.6,1,0,0,0.551636611,0.640895375
1,0.578947368,0,0,0,0.4,0.8,0,1,0.333333333,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.466666667,0.4,1,0,0,0.420827379,0.417038001
0,0.561403509,0,0,0,0.8,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333333,0.466666667,0.4,1,0,0,0.438142733,0.447074008
0,0.307017544,0,0,0,0.8,0.6,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,1,1,0.833333333,0.466666667,1,1,0,0,0.691841777,0.762914959
0,0.640350877,0,0,0,0.6,0.4,0,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.833333333,0.833333333,0.466666667,0.6,1,0,0,0.35874525,0.544898944
0,0.447368421,0,0,0,0,0.4,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.552480904,0.078973466
0,0.377192982,0,0,0,0.4,0.4,1,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.666666667,0.833333333,0.833333333,0.4,1,0,0,0.622162086,0.508576575
0,0.210526316,0.333333333,0.666666667,0.923076923,1,0.4,1,1,0,0,0,0,0.75,0,0,0,1,0,1,1,1,1,1,0.666666667,0.9,1,1,1,0.789029924,0.912358698
0,0.543859649,0,0,0.692307692,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0.466666667,0.4,1,0,0,0.456100924,0.395069301
0,0.438596491,0,0,0,0.2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.833333333,0.333333333,0.4,1,0,0,0.561343821,0.309542477
0,0.535087719,0.333333333,0,0,0.4,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.464529397,0.134468376
1,0.535087719,0,0,0,0.4,0.4,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.333333333,0.833333333,0.666666667,0.9,1,0,1,0.464310441,0.530134503
1,0.228070175,0,0,0,0.6,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.771495061,0.185493105
0,0.5,0,0,0,0.6,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666667,0.333333333,0.4,0,0,0,0.499481292,0.438880792
0,0.473684211,0,0,0,0.4,0.4,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.525915693,0.154955736
1,0.526315789,0,0,0,0.4,0.6,0,1,0.333333333,0,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.472874217,0.254493243
1,0.561403509,0,0,0,0.2,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.333333333,0.466666667,0.4,1,0,0,0.438388549,0.285132201
0,0.447368421,0,0,0,0.6,0.4,1,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.5,0.333333333,0.466666667,1,1,0,0,0.551543984,0.616005834
0,0.49122807,0,0,0,0.4,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0.466666667,0.4,1,0,0,0.508455809,0.322569659
1,0.403508772,0,0,0,0.4,0.4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0.833333333,0.666666667,0.4,1,1,0,0.595602719,0.53462374
0,0.587719298,0,0,0,0.6,0.8,1,1,0.333333333,0,0,0,0.75,1,0,0,0,0,0,0,1,1,1,0.4,0.6,1,1,0,0.41134826,0.620510941
1,0.587719298,0,0,0,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0.466666667,0.4,1,0,0,0.411951511,0.312964776
1,0.298245614,0,0,0.692307692,0.6,0.8,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,1,1,1,0.833333333,0.4,1,0,0,0.701192616,0.693468152
0,0.649122807,0,0,0,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.333333333,0.466666667,0.4,1,0,0,0.35056222,0.314807303
0,0.48245614,0,0,0,0.4,0.6,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,1,0.833333333,1,0.666666667,0.6,1,0,0,0.516824471,0.581721883
0,0.596491228,0,0,0,0.4,0.4,0,1,0.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.402384478,0.293833702
1,0.289473684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.710424989,0.061349773
0,0.359649123,0,0,0,0.6,0.4,0,1,0.333333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.639459274,0.287550277
0,0.535087719,0,0,0,0.2,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.464628313,0.115937858
1,0.447368421,0,0,0,0.4,0.4,1,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.833333333,0.833333333,0.4,0.6,1,0,0,0.551813827,0.531121789
0,0.456140351,0,0,0,0.4,0.2,0,1,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.543513716,0.141297852
0,0.307017544,0.666666667,0.333333333,0,1,0.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.833333333,1,0.466666667,0.4,1,0,0,0.692595537,0.559446216
0,0.298245614,0,0,0,0.4,0.2,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.701406076,0.15819
0,0.429824561,0,0,0,0.4,0.4,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.666666667,0.466666667,0.4,1,0,0,0.569975602,0.357652739
1,0.48245614,0.333333333,0,0,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,1,0.466666667,0.4,1,0,0,0.51736713,0.383557478
0,0.421052632,0,0,0,0.6,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0.4,1,0,0,0.578616746,0.430842955
